stock_code,user_id,direction,executed_price,executed_quantity,original_quantity,unfilled_quantity,timestamp
REEI,49936240218,sell,9.21,74200,74200,0,2023-06-15 13:36:18.413583
REEI,25367177125,sell,9.21,158700,158700,0,2023-06-15 09:30:13.645451
REEI,ZYF,sell,9.21,681700,681700,0,2023-06-15 11:27:51.942448
REEI,ZYF,sell,9.21,158700,158700,0,2023-06-15 13:58:10.860441
REEI,96675000715,sell,9.21,681700,681700,0,2023-06-15 14:35:28.696524
REEI,ZYF,sell,9.21,60800,60800,0,2023-06-15 09:44:54.124344
REEI,83445171136,sell,9.21,60800,60800,0,2023-06-15 14:19:09.401882
REEI,ZYF,sell,9.21,545600,545600,0,2023-06-15 09:51:26.920936
REEI,85335999473,sell,9.21,62300,62300,0,2023-06-15 10:23:20.705309
REEI,ZYF,sell,9.21,68700,68700,0,2023-06-15 11:04:39.013260
REEI,25142120538,sell,9.21,627100,627100,0,2023-06-15 11:05:00.061527
REEI,ZYF,sell,9.21,68100,68100,0,2023-06-15 13:08:11.283210
REEI,70852751519,sell,9.21,68700,68700,0,2023-06-15 13:11:28.003866
REEI,ZYF,sell,9.21,627100,627100,0,2023-06-15 13:12:45.613757
REEI,ZYF,sell,9.21,62300,62300,0,2023-06-15 13:13:46.944871
REEI,27850932568,sell,9.21,545600,545600,0,2023-06-15 13:15:54.532566
REEI,81654383732,sell,9.21,68100,68100,0,2023-06-15 13:40:36.011824
REEI,40232921379,sell,9.21,65400,65400,0,2023-06-15 11:08:31.937490
REEI,ZYF,sell,9.21,65400,65400,0,2023-06-15 14:19:34.494631
REEI,ZYF,sell,9.21,47800,47800,0,2023-06-15 13:43:19.291846
REEI,21457572365,sell,9.21,47800,47800,0,2023-06-15 13:54:33.842957
REEI,86789433459,sell,9.21,1341100,1341100,0,2023-06-15 10:26:30.680311
REEI,ZYF,sell,9.21,57600,57600,0,2023-06-15 13:08:46.845992
REEI,ZYF,sell,9.21,1341100,1341100,0,2023-06-15 14:18:40.708400
REEI,16704257100,sell,9.21,57600,57600,0,2023-06-15 14:28:37.935973
REEI,24063664460,sell,9.21,1071500,1071500,0,2023-06-15 09:51:35.448245
REEI,ZYF,sell,9.21,1071500,1071500,0,2023-06-15 11:29:35.832629
REEI,ZYF,sell,9.21,66900,66900,0,2023-06-15 09:44:32.488889
REEI,74109258330,sell,9.21,66900,66900,0,2023-06-15 10:26:44.360499
REEI,ZYF,sell,9.21,62200,62200,0,2023-06-15 10:54:32.188695
REEI,78069100165,sell,9.21,30300,30300,0,2023-06-15 11:11:13.425186
REEI,75011303082,sell,9.21,62200,62200,0,2023-06-15 14:09:15.049580
REEI,ZYF,sell,9.21,30300,30300,0,2023-06-15 14:54:28.756200
REEI,38148256016,sell,9.21,63700,63700,0,2023-06-15 10:25:15.467363
REEI,ZYF,sell,9.21,65900,65900,0,2023-06-15 11:11:35.386779
REEI,72114913291,sell,9.21,65900,65900,0,2023-06-15 13:59:13.063244
REEI,ZYF,sell,9.21,63700,63700,0,2023-06-15 14:16:36.393248
REEI,42068891963,sell,9.21,55000,55000,0,2023-06-15 10:20:12.822045
REEI,ZYF,sell,9.21,55000,55000,0,2023-06-15 13:10:42.218701
REEI,95075434792,sell,9.21,61800,61800,0,2023-06-15 09:53:53.357423
REEI,ZYF,sell,9.21,16800,16800,0,2023-06-15 10:07:01.558451
REEI,88166001054,sell,9.21,40500,40500,0,2023-06-15 10:32:45.138001
REEI,76073515850,sell,9.21,1007700,1007700,0,2023-06-15 10:41:59.210363
REEI,71527145805,sell,9.21,16800,16800,0,2023-06-15 13:29:09.305160
REEI,ZYF,sell,9.21,40500,40500,0,2023-06-15 13:33:23.936102
REEI,ZYF,sell,9.21,1007700,1007700,0,2023-06-15 13:53:48.749101
REEI,ZYF,sell,9.21,61800,61800,0,2023-06-15 14:39:46.821755
REEI,ZYF,sell,9.21,61900,61900,0,2023-06-15 14:50:11.709718
REEI,33749400508,sell,9.21,61900,61900,0,2023-06-15 14:57:02.608895
REEI,30579658334,sell,9.21,86500,86500,0,2023-06-15 11:08:42.810499
REEI,ZYF,sell,9.21,86500,86500,0,2023-06-15 14:59:36.204367
TTEI,82371105112,buy,14.59,129300,129300,0,2023-06-15 13:53:10.135980
TTEI,68009423543,buy,14.59,107000,107000,0,2023-06-15 14:01:34.273551
TTEI,74272079145,buy,14.59,31900,31900,0,2023-06-15 10:41:52.457288
TTEI,17024940274,buy,14.59,111900,111900,0,2023-06-15 13:41:35.730878
TTEI,41916957633,buy,14.59,142200,142200,0,2023-06-15 10:43:48.998723
TTEI,19253141723,buy,14.59,32700,32700,0,2023-06-15 13:07:46.202837
TTEI,17692596259,buy,14.59,460500,460500,0,2023-06-15 14:31:15.170986
TTEI,53831601032,buy,14.59,585800,585800,0,2023-06-15 10:40:13.523778
TTEI,39222714950,buy,14.59,657600,657600,0,2023-06-15 13:09:42.310937
TTEI,86615924053,buy,14.59,64100,64100,0,2023-06-15 14:50:48.151295
TTEI,25823641850,buy,14.59,96800,96800,0,2023-06-15 14:37:56.765228
TTEI,68493791533,buy,14.59,59400,59400,0,2023-06-15 10:44:20.761005
TTEI,95757403205,buy,14.59,1210000,1210000,0,2023-06-15 14:40:54.768091
TTEI,16275556134,buy,14.59,1257000,1257000,0,2023-06-15 14:28:26.856171
TTEI,25109296217,buy,14.59,67200,67200,0,2023-06-15 11:27:43.566658
TTEI,39538548245,buy,14.59,67800,67800,0,2023-06-15 13:17:35.039058
TTEI,79416432148,buy,14.59,111700,111700,0,2023-06-15 14:27:57.134980
TTEI,91912239216,buy,14.59,690700,690700,0,2023-06-15 14:15:41.528695
TTEI,57084675700,sell,14.59,762500,762500,0,2023-06-15 10:07:47.415218
TTEI,74533333826,sell,14.59,77100,77100,0,2023-06-15 13:56:37.162668
TTEI,38946804573,sell,14.59,71300,71300,0,2023-06-15 11:10:18.146758
TTEI,16606520367,sell,14.59,87000,87000,0,2023-06-15 13:25:34.499479
TTEI,84310833175,sell,14.59,1924400,1924400,0,2023-06-15 11:07:22.849710
TTEI,69768295193,sell,14.59,681100,681100,0,2023-06-15 10:29:56.446998
TTEI,33994407386,sell,14.59,72700,72700,0,2023-06-15 10:05:26.049264
TTEI,37691840152,sell,14.59,709900,709900,0,2023-06-15 10:09:15.235229
TTEI,32033055242,sell,14.59,84100,84100,0,2023-06-15 10:01:30.673890
TTEI,52713474608,sell,14.59,706600,706600,0,2023-06-15 13:39:29.818563
TTEI,10164529319,sell,14.59,112800,112800,0,2023-06-15 14:33:20.935334
TTEI,73040985049,sell,14.59,594100,736800,142700,2023-06-15 14:04:13.871912
CPEI,74109258330,buy,10.67,53200,53200,0,2023-06-15 13:48:26.899151
CPEI,73264505917,buy,10.67,523100,523100,0,2023-06-15 10:51:11.504354
CPEI,81654383732,buy,10.67,85900,85900,0,2023-06-15 13:22:43.966863
CPEI,90835889671,buy,10.67,51800,51800,0,2023-06-15 13:52:07.137626
CPEI,70505133093,buy,10.67,923800,923800,0,2023-06-15 10:45:42.186903
CPEI,22665754025,buy,10.67,139500,139500,0,2023-06-15 10:58:20.713938
CPEI,67962836898,buy,10.67,865800,865800,0,2023-06-15 10:53:29.251742
CPEI,23098749401,buy,10.67,900100,900100,0,2023-06-15 11:09:54.195371
CPEI,21328519286,buy,10.67,88400,88400,0,2023-06-15 11:22:14.538476
CPEI,44271047399,buy,10.67,95500,95500,0,2023-06-15 10:19:26.904871
CPEI,25452798143,buy,10.67,52300,52300,0,2023-06-15 13:03:23.668462
CPEI,25453898200,buy,10.67,54600,54600,0,2023-06-15 14:22:45.219052
CPEI,23361455402,buy,10.67,1685000,1685000,0,2023-06-15 14:49:56.574644
CPEI,15394414297,buy,10.67,91700,91700,0,2023-06-15 10:52:27.923108
CPEI,71094896793,buy,10.67,100500,100500,0,2023-06-15 10:54:26.437510
CPEI,65174337264,buy,10.67,926500,926500,0,2023-06-15 13:35:17.918268
CPEI,96178085938,buy,10.67,53600,53600,0,2023-06-15 11:07:33.867049
CPEI,46519177978,buy,10.67,88600,88600,0,2023-06-15 13:54:33.956902
CPEI,86154983458,buy,10.67,60300,60300,0,2023-06-15 14:42:27.802408
CPEI,27673056119,buy,10.67,88400,88400,0,2023-06-15 14:00:11.134811
CPEI,99357860114,buy,10.67,89600,89600,0,2023-06-15 13:17:51.406589
CPEI,24270365556,buy,10.67,53200,53200,0,2023-06-15 10:49:23.535150
CPEI,92638060217,buy,10.67,77200,77200,0,2023-06-15 14:26:13.932793
CPEI,36514505064,buy,10.67,95900,95900,0,2023-06-15 10:36:57.171875
CPEI,96110050012,buy,10.67,51000,51000,0,2023-06-15 10:45:17.543610
CPEI,70494484825,buy,10.67,46400,46400,0,2023-06-15 13:23:44.717427
CPEI,74533333826,buy,10.67,100900,100900,0,2023-06-15 14:35:37.494874
CPEI,82254645314,buy,10.67,92700,92700,0,2023-06-15 14:07:37.119463
CPEI,95334397009,buy,10.67,551800,551800,0,2023-06-15 14:20:32.325169
CPEI,92594586139,buy,10.67,58700,58700,0,2023-06-15 10:28:12.213618
CPEI,99360887564,buy,10.67,53400,53400,0,2023-06-15 11:06:08.715275
CPEI,84223796359,buy,10.67,190100,190100,0,2023-06-15 11:18:19.046846
CPEI,39135151259,buy,10.67,55400,55400,0,2023-06-15 14:41:15.724505
CPEI,22755586181,buy,10.67,89500,89500,0,2023-06-15 14:55:52.953745
CPEI,72450088251,buy,10.67,535800,535800,0,2023-06-15 11:05:36.932428
CPEI,91011433015,buy,10.67,48300,48300,0,2023-06-15 10:32:12.379144
